Hash of previous block,pi,Sub Users,Step
a7936b154818fe7287fdc5ff3bdb16d129eb0d49b84b5119e561cd8112106134efebc84d69cd5fb64c570008976a2231a5bebfd40508f92c5f33817ef3eb4359 , b'12012332380432142482408529300371577527123910360072034575057308989599881386213' ,0,1
e9d3c6356bdcdd90fb03c402eb7ea123b3d7afc814bfa439d6d9a944e293630e710f375cb139b7db0128ed306c455e4bbf085c9cb69c654ceb187b2e0630b73d , b'12012332380432142482408529300371577527123910360072034575057308989599881386213' ,0,1
2fd9e7ff21c2d11c65ecc4ebcc945b872e48d6e7bcc14ad80bbfda73f8761f4bd56e188fa953f44316f7d3d87d82bcca3b8c4b38ceec0c70937b07550e908f64 , b'12012332380432142482408529300371577527123910360072034575057308989599881386213' ,0,1
356c1e165b2bc7790dafe39e19c53ffe67d67b25bed2927f20d2f7d2cf153cea3972d48ca31132282c33122f9e322d039b53330e56972ee90bcb80bc39647030 , b'12012332380432142482408529300371577527123910360072034575057308989599881386213' ,0,1
f43fa452d799ade71a8d81aea925359347a141c98964969c93370fdd33ab3baab99eb6b098cc19ca02839734c8ba3bf85488a2b7c0b35fb002c3c40298fc3f57 , b'12012332380432142482408529300371577527123910360072034575057308989599881386213' ,0,1
50c520badf0b3afedf79aacd5c971e45d868df2036ea17f5a47d47c4555deb72963e4bc3a846e6b21e4e5280d45a754b7d9460c5e2172e02e37809b133dfeeb0 , b'12012332380432142482408529300371577527123910360072034575057308989599881386213' ,0,1
d5d0a86a2a19f7269254c5fcdc749f6d7cc07de89dda602c8539bc14f11709de1b0dc10c19785143f690f883bbf7405c3fdebf731aee1c5b762dc0ba80601e15 , b'12012332380432142482408529300371577527123910360072034575057308989599881386213' ,0,1
c82f0e4d0d332a2033f63cd4632e724da1605adeca7c6aabf26421075004062aea9c25af2d6bd9049999a2b3b923087507c1c9638ec54b254a3fcbfa7da0fa7b , b'12012332380432142482408529300371577527123910360072034575057308989599881386213' ,0,1
5a07079ef45f20ae38255b5279c64388d66f3e0287f40b475f49e3c5c1a21e5da3c344c1bfe7a65cb64f272594cebac03cc0fc88264d0e22324753c6eb70aca5 , b'12012332380432142482408529300371577527123910360072034575057308989599881386213' ,0,1
6301694fb062e9422efe5b4a48a03991f58267d5b63ae8a6f755c01ca8fb0f3fd4059655059e8d330ef310dacdea77035d7b76205cb684fa811e0d93c0ccedc8 , b'12012332380432142482408529300371577527123910360072034575057308989599881386213' ,0,1
